LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 3573106, 3335037, 3.3584226160656865, 88.1109022556391, 44.12008015147882,
1, 7159, 0, 14.303673697443777, 25.0, 12.518337408312957,
2, 7159, 0, 14.303673697443777, 25.0, 12.518337408312957,
3, 862125, 774416, 4.639698419602726, 79.71938775510205, 39.91816775609999,
4, 1901746, 1751387, 4.038394191443022, 89.28571428571429, 44.70834788683196,
5, 1706352, 1555993, 4.500829840501843, 89.28571428571429, 44.70834788683196,
