LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 7546399.0, 31129600, 1.0, 7545312.0, 7680000, 511.0, 7546781.0, 34406400, -117818.0, 7540415.0, 76581700, -314573.0, 2831165.0, 31457300, 475902.0, 7669741.0, 34406400,
1, 257.0, 6713.0, 262144, 193.0, 5626.0, 65536, 511.0, 7159.0, 1048576, -26215.0, -1.0, 262150, -6554.0, -1.0, 65540, 7159.0, 112016.0, 1048576,
2, 257.0, 6905.0, 1048576, 1.0, 5626.0, 65536, 511.0, 6967.0, 262144, -104858.0, -1.0, 1048580, -26215.0, -1.0, 262150, 7159.0, 33373.0, 262144,
3, 257.0, 2598001.0, 11468800, 1.0, 2596914.0, 2560000, 511.0, 2598255.0, 11468800, -117818.0, 2592017.0, 27098140, -286720.0, -1.0, 2867200, 475902.0, 2840487.0, 11468800,
4, 257.0, 4719059.0, 19660800, 1.0, 4717972.0, 4915200, 511.0, 4719505.0, 22020096, -117818.0, 4712759.0, 48305380, -314573.0, 314573.0, 6291460, 475902.0, 4810223.0, 22020096,
5, 257.0, 2874047.0, 22020096, 1.0, 2872768.0, 4915200, 511.0, 2874109.0, 19660800, -179756.0, 2696354.0, 28760960, -314573.0, 314573.0, 6291460, 352402.0, 2922982.0, 19660810,
