LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 7546845, 7308776, 1.5900684325701668, 88.1109022556391, 44.12008015147882,
1, 7159, 0, 14.303673697443777, 25.0, 12.518337408312957,
2, 7159, 0, 14.303673697443777, 25.0, 12.518337408312957,
3, 2598447, 2510738, 1.5393810225877227, 79.71938775510205, 39.91816775609999,
4, 4719505, 4569146, 1.6272893025857584, 89.28571428571429, 44.70834788683196,
5, 2874301, 2723942, 2.671953981159245, 89.28571428571429, 44.70834788683196,
