LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
90, 257.0, 12785.0, 200704, 1.0, 12481.0, 1048576, 511.0, 13039.0, 200704, -5018.0, -1.0, 100360, -52429.0, -1.0, 1048580, 13039.0, 23074.0, 200704,
91, 257.0, 12863.0, 802816, 193.0, 256.0, 4096, 511.0, 13117.0, 802816, -157287.0, -1.0, 3145740, -820.0, -1.0, 16400, 13309.0, 53449.0, 802816,
92, 257.0, 3455.0, 200704, 193.0, 256.0, 16384, 511.0, 3901.0, 802816, -40141.0, -1.0, 802820, -820.0, -1.0, 16400, 3901.0, 44041.0, 802816,
93, 257.0, 3647.0, 802816, 1.0, 256.0, 16384, 511.0, 3709.0, 200704, -40141.0, -1.0, 802820, -3277.0, -1.0, 65540, 3901.0, 13936.0, 200704,
94, 257.0, 1322.0, 215296, 1.0, 256.0, 32768, 511.0, 1478.0, 107648, -10765.0, -1.0, 215300, -3277.0, -1.0, 65540, 1606.0, 6988.0, 107648,
95, 257.0, 2717.0, 200704, 129.0, 1806.0, 65536, 511.0, 3099.0, 401408, -10036.0, -1.0, 200720, -3277.0, -1.0, 65540, 3099.0, 23169.0, 401408,
96, 257.0, 2845.0, 401408, 1.0, 1806.0, 65536, 511.0, 2971.0, 200704, -20071.0, -1.0, 401420, -6554.0, -1.0, 131080, 3099.0, 13134.0, 200704,
97, 257.0, 1711.0, 115200, 1.0, 1247.0, 131072, 511.0, 1981.0, 115200, -5760.0, -1.0, 115200, -6554.0, -1.0, 131080, 1981.0, 7740.0, 115200,
98, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -2509.0, -1.0, 50180, -13108.0, -1.0, 262160, 3847.0, 13882.0, 200704,
99, 257.0, 7657.0, 460800, 1.0, 7193.0, 524288, 511.0, 7927.0, 460800, -5760.0, -1.0, 115200, -26215.0, -1.0, 524300, 7927.0, 30966.0, 460800,
100, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -10036.0, -1.0, 200720, -13108.0, -1.0, 262160, 3847.0, 13882.0, 200704,
101, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -2509.0, -1.0, 50180, -13108.0, -1.0, 262160, 3847.0, 13882.0, 200704,
102, 257.0, 6376.0, 131072, 1.0, 6066.0, 524288, 511.0, 6639.0, 131072, -3277.0, -1.0, 65540, -26215.0, -1.0, 524300, 6639.0, 13192.0, 131072,
103, 257.0, 28221.0, 230400, 1.0, 27941.0, 2359296, 511.0, 28475.0, 230400, -5760.0, -1.0, 115200, -117965.0, -1.0, 2359300, 28475.0, 39994.0, 230400,
104, 257.0, 12785.0, 200704, 1.0, 12481.0, 1048576, 511.0, 13039.0, 200704, -1255.0, -1.0, 25100, -52429.0, -1.0, 1048580, 13039.0, 23074.0, 200704,
105, 257.0, 26296.0, 524288, 1.0, 25986.0, 2097152, 511.0, 26559.0, 524288, -3277.0, -1.0, 65540, -104858.0, -1.0, 2097160, 26559.0, 52773.0, 524288,
106, 257.0, 12785.0, 200704, 1.0, 12481.0, 1048576, 511.0, 13039.0, 200704, -5018.0, -1.0, 100360, -52429.0, -1.0, 1048580, 13039.0, 23074.0, 200704,
