LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 3487502.0, 31129600, 1.0, 3486415.0, 7680000, 511.0, 3637326.0, 34406400, -183501.0, -1.0, 1835010, -314573.0, 2831165.0, 31457300, 11628.0, 3804414.0, 34406425,
1, 257.0, 6713.0, 262144, 193.0, 5626.0, 65536, 511.0, 7159.0, 1048576, -26215.0, -1.0, 262150, -6554.0, -1.0, 65540, 7159.0, 112016.0, 1048576,
2, 257.0, 6905.0, 1048576, 1.0, 5626.0, 65536, 511.0, 6967.0, 262144, -104858.0, -1.0, 1048580, -26215.0, -1.0, 262150, 7159.0, 33373.0, 262144,
3, 257.0, 686268.0, 11468800, 1.0, 685181.0, 2560000, 511.0, 830233.0, 11468800, -183501.0, -1.0, 1835010, -286720.0, -1.0, 2867200, 11628.0, 995220.0, 11468805,
4, 257.0, 1816218.0, 19660800, 1.0, 1815131.0, 4915200, 511.0, 1816664.0, 22020096, -183501.0, -1.0, 1835010, -314573.0, 314573.0, 6291460, 11628.0, 2054502.0, 22020101,
5, 257.0, 1706098.0, 22020096, 1.0, 1704819.0, 4915200, 511.0, 1706160.0, 19660800, -314573.0, -1.0, 3145730, -314573.0, 314573.0, 6291460, 7671.0, 1889851.0, 19660800,
