LayerID,TotalCycles,StallCycles,Stall_IFMAP,Stall_Filter,Stall_OFMAP,Stall_DRAM_attrib,Stall_SRAM_attrib
0,3573106.0,3335037.0,19.484369695965082,34.921394583431486,38.93143310573558,93.33719738513216,0.0
1,7159.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7159.0,0.0,0.0,0.0,0.0,0.0,0.0
3,862125.0,774416.0,22.50754809961873,22.485835428627297,44.833033754630584,89.02716143601342,0.7992558468632076
4,1901746.0,1751387.0,22.13005994527329,25.782333601024327,44.18124040902555,92.09363395532316,0.0
5,1706352.0,1555993.0,21.817988649247212,25.828345031214507,43.54194400198598,91.1882776824477,0.0
