LayerID,TotalCycles,StallCycles,Stall_IFMAP,Stall_Filter,Stall_OFMAP,Stall_DRAM_attrib,Stall_SRAM_attrib
0,27704.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27704.0,0.0,0.0,0.0,0.0,0.0,0.0
2,27704.0,0.0,0.0,0.0,0.0,0.0,0.0
3,952425.0,902642.0,43.748149087893324,21.82483088568944,29.200046773930165,94.77302674751293,0.0
4,952425.0,902642.0,43.748149087893324,21.82483088568944,29.200046773930165,94.77302674751293,0.0
5,952425.0,902642.0,43.748149087893324,21.82483088568944,29.200046773930165,94.77302674751293,0.0
6,22753.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6001.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3891.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2993.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3681.0,0.0,0.0,0.0,0.0,0.0,0.0
11,10409.0,0.0,0.0,0.0,0.0,0.0,0.0
12,6954.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4549.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14237.0,0.0,0.0,0.0,0.0,0.0,0.0
15,122137.0,72088.0,10.54543048014777,0.005560469538701698,48.47125456150178,50.84281972275091,8.17942578843735
16,629656.0,591059.0,41.829117371167435,10.484309843088147,41.556717753790466,93.87014496804605,0.0
17,315082.0,296673.0,46.703003513575204,1.1124535809007994,46.34193685376605,94.15739394824205,0.0
18,25955.0,0.0,0.0,0.0,0.0,0.0,0.0
19,32759.0,0.0,0.0,0.0,0.0,0.0,0.0
20,28475.0,0.0,0.0,0.0,0.0,0.0,0.0
21,122137.0,72088.0,10.54543048014777,0.005560469538701698,48.47125456150178,50.84281972275091,8.17942578843735
22,629656.0,591059.0,41.829117371167435,10.484309843088147,41.556717753790466,93.87014496804605,0.0
23,315082.0,296673.0,46.703003513575204,1.1124535809007994,46.34193685376605,94.15739394824205,0.0
24,25955.0,0.0,0.0,0.0,0.0,0.0,0.0
25,32759.0,0.0,0.0,0.0,0.0,0.0,0.0
26,28475.0,0.0,0.0,0.0,0.0,0.0,0.0
27,12865.0,0.0,0.0,0.0,0.0,0.0,0.0
28,25497.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1549.0,0.0,0.0,0.0,0.0,0.0,0.0
30,43299.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1923.0,0.0,0.0,0.0,0.0,0.0,0.0
32,3259.0,0.0,0.0,0.0,0.0,0.0,0.0
33,63549.0,0.0,0.0,0.0,0.0,0.0,0.0
34,12865.0,0.0,0.0,0.0,0.0,0.0,0.0
35,25497.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1549.0,0.0,0.0,0.0,0.0,0.0,0.0
37,43299.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1923.0,0.0,0.0,0.0,0.0,0.0,0.0
39,3259.0,0.0,0.0,0.0,0.0,0.0,0.0
40,63549.0,0.0,0.0,0.0,0.0,0.0,0.0
41,11045.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1606.0,0.0,0.0,0.0,0.0,0.0,0.0
43,7209.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1981.0,0.0,0.0,0.0,0.0,0.0,0.0
45,961.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8189.0,0.0,0.0,0.0,0.0,0.0,0.0
47,3319.0,0.0,0.0,0.0,0.0,0.0,0.0
48,3259.0,0.0,0.0,0.0,0.0,0.0,0.0
49,12511.0,0.0,0.0,0.0,0.0,0.0,0.0
50,11045.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1606.0,0.0,0.0,0.0,0.0,0.0,0.0
52,7209.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1981.0,0.0,0.0,0.0,0.0,0.0,0.0
54,961.0,0.0,0.0,0.0,0.0,0.0,0.0
55,8189.0,0.0,0.0,0.0,0.0,0.0,0.0
56,3319.0,0.0,0.0,0.0,0.0,0.0,0.0
57,3259.0,0.0,0.0,0.0,0.0,0.0,0.0
58,12511.0,0.0,0.0,0.0,0.0,0.0,0.0
59,28336.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1291721.0,1207992.0,39.22910454845039,19.451599901324805,34.837323049971275,93.51802749974645,0.0
61,955332.0,902469.0,37.778142565176374,18.86680213712173,37.82158630472354,94.46653100702164,0.0
62,638587.0,601888.0,37.72668225530262,18.802467868842008,37.72394303309159,94.25309315723621,0.0
63,420318.0,389119.0,35.90976849330814,15.886254537132801,40.78126369056553,92.57728672100647,0.0
64,315082.0,294905.0,46.340215880750605,1.3398758743415407,45.916178422195046,93.59627017728718,0.0
65,316841.0,260092.0,16.57192390713453,33.03356740258305,32.483632256992536,82.08912356671011,0.0
66,39095.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28336.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1291721.0,1207992.0,39.22910454845039,19.451599901324805,34.837323049971275,93.51802749974645,0.0
69,955332.0,902469.0,37.778142565176374,18.86680213712173,37.82158630472354,94.46653100702164,0.0
70,638587.0,601888.0,37.72668225530262,18.802467868842008,37.72394303309159,94.25309315723621,0.0
71,420318.0,389119.0,35.90976849330814,15.886254537132801,40.78126369056553,92.57728672100647,0.0
72,315082.0,294905.0,46.340215880750605,1.3398758743415407,45.916178422195046,93.59627017728718,0.0
73,316841.0,260092.0,16.57192390713453,33.03356740258305,32.483632256992536,82.08912356671011,0.0
74,39095.0,0.0,0.0,0.0,0.0,0.0,0.0
75,13309.0,0.0,0.0,0.0,0.0,0.0,0.0
